timestamp,condition,camPos,camPos-X,camPos-Y,camPos-Z,camDir,camDir-X,camDir-Y,camDir-Z,task,user
636056668613616892,SpatialInputCamera,CameraPosition,601.7094,645.4064,-1420.785,CameraDirection,-0.09515451,-0.542475,0.8346655,NT,user-01
636056668613773145,SpatialInputCamera,CameraPosition,601.7094,645.4064,-1420.785,CameraDirection,-0.09515451,-0.542475,0.8346655,NT,user-01
636056668613929263,SpatialInputCamera,CameraPosition,600.1888,644.327,-1421.602,CameraDirection,-0.09184529,-0.5466853,0.8322861,NT,user-01
636056668614241910,SpatialInputCamera,CameraPosition,599.7098,643.8455,-1421.754,CameraDirection,-0.09040326,-0.5484718,0.8312678,NT,user-01
636056668614398147,SpatialInputCamera,CameraPosition,599.7098,643.8455,-1421.754,CameraDirection,-0.09040326,-0.5484718,0.8312678,NT,user-01
636056668614554257,SpatialInputCamera,CameraPosition,599.0546,643.2886,-1422.201,CameraDirection,-0.08977387,-0.552451,0.8286969,NT,user-01
636056668614710700,SpatialInputCamera,CameraPosition,598.4696,642.8321,-1422.382,CameraDirection,-0.09006219,-0.5536919,0.8278374,NT,user-01
636056668614866949,SpatialInputCamera,CameraPosition,598.4696,642.8321,-1422.382,CameraDirection,-0.09006219,-0.5536919,0.8278374,NT,user-01
636056668615023198,SpatialInputCamera,CameraPosition,597.6334,642.3735,-1422.417,CameraDirection,-0.09118242,-0.5544899,0.8271802,NT,user-01
636056668615179469,SpatialInputCamera,CameraPosition,597.0612,642.0925,-1422.377,CameraDirection,-0.09319195,-0.5541973,0.8271527,NT,user-01
636056668615335706,SpatialInputCamera,CameraPosition,596.4387,642.0847,-1422.575,CameraDirection,-0.09318139,-0.5552465,0.8264493,NT,user-01
636056668615491955,SpatialInputCamera,CameraPosition,596.4387,642.0847,-1422.575,CameraDirection,-0.09318139,-0.5552465,0.8264493,NT,user-01
636056668615648205,SpatialInputCamera,CameraPosition,596.0493,642.1309,-1422.328,CameraDirection,-0.09231272,-0.5552588,0.826539,NT,user-01
636056668615804458,SpatialInputCamera,CameraPosition,595.8091,642.2427,-1422.284,CameraDirection,-0.08990026,-0.5562132,0.8261631,NT,user-01
636056668615960658,SpatialInputCamera,CameraPosition,595.8091,642.2427,-1422.284,CameraDirection,-0.08990026,-0.5562132,0.8261631,NT,user-01
636056668616116908,SpatialInputCamera,CameraPosition,595.2935,642.5818,-1422.625,CameraDirection,-0.08167712,-0.555394,0.8275667,NT,user-01
636056668616273162,SpatialInputCamera,CameraPosition,595.2935,642.5818,-1422.625,CameraDirection,-0.08167712,-0.555394,0.8275667,NT,user-01
636056668616429469,SpatialInputCamera,CameraPosition,594.6888,642.9261,-1423.925,CameraDirection,-0.07001841,-0.5495209,0.8325411,NT,user-01
636056668616741922,SpatialInputCamera,CameraPosition,594.3872,643.1581,-1424.627,CameraDirection,-0.06353199,-0.5456361,0.8356109,NT,user-01
636056668616898135,SpatialInputCamera,CameraPosition,594.3872,643.1581,-1424.627,CameraDirection,-0.06353199,-0.5456361,0.8356109,NT,user-01
636056668617054269,SpatialInputCamera,CameraPosition,593.9401,643.6877,-1426.221,CameraDirection,-0.05547343,-0.5412529,0.8390287,NT,user-01
636056668617210535,SpatialInputCamera,CameraPosition,593.8031,644.1166,-1427.295,CameraDirection,-0.05167262,-0.5379629,0.8413835,NT,user-01
636056668617366924,SpatialInputCamera,CameraPosition,593.8031,644.1166,-1427.295,CameraDirection,-0.05167262,-0.5379629,0.8413835,NT,user-01
636056668617523047,SpatialInputCamera,CameraPosition,593.6042,645.0325,-1429.555,CameraDirection,-0.04851661,-0.5316948,0.8455454,NT,user-01
636056668617679296,SpatialInputCamera,CameraPosition,593.6628,645.9965,-1431.7,CameraDirection,-0.0516229,-0.523762,0.8502994,NT,user-01
636056668617835677,SpatialInputCamera,CameraPosition,593.7714,646.4094,-1432.609,CameraDirection,-0.05572017,-0.5192884,0.852781,NT,user-01
636056668617991926,SpatialInputCamera,CameraPosition,593.7714,646.4094,-1432.609,CameraDirection,-0.05572017,-0.5192884,0.852781,NT,user-01
636056668618148180,SpatialInputCamera,CameraPosition,593.9088,647.0988,-1433.787,CameraDirection,-0.0630461,-0.5147715,0.8550059,NT,user-01
636056668618304442,SpatialInputCamera,CameraPosition,593.9735,647.5073,-1434.404,CameraDirection,-0.0680381,-0.5130887,0.8556352,NT,user-01
636056668618460679,SpatialInputCamera,CameraPosition,593.9735,647.5073,-1434.404,CameraDirection,-0.0680381,-0.5130887,0.8556352,NT,user-01
636056668618616928,SpatialInputCamera,CameraPosition,594.0375,648.0539,-1435.229,CameraDirection,-0.07674966,-0.5112202,0.8560165,NT,user-01
636056668618773178,SpatialInputCamera,CameraPosition,594.0375,648.0539,-1435.229,CameraDirection,-0.07674966,-0.5112202,0.8560165,NT,user-01
636056668618929674,SpatialInputCamera,CameraPosition,594.021,648.3007,-1435.65,CameraDirection,-0.08035582,-0.5118871,0.8552866,NT,user-01
636056668619241910,SpatialInputCamera,CameraPosition,593.9894,648.2339,-1436.266,CameraDirection,-0.08067315,-0.51181,0.8553026,NT,user-01
636056668619398159,SpatialInputCamera,CameraPosition,593.9894,648.2339,-1436.266,CameraDirection,-0.08067315,-0.51181,0.8553026,NT,user-01
636056668619554290,SpatialInputCamera,CameraPosition,593.9633,647.6367,-1436.795,CameraDirection,-0.0766519,-0.506402,0.8588837,NT,user-01
